              value  count     ratio
         기타통증,기타,오심    142  0.011358
           고열,기타,설사    140  0.011198
         기타,전신쇠약,구토    140  0.011198
    기타통증,오심/구토,어지러움    139  0.011118
         기타통증,골절,염좌    139  0.011118
           실신,경련/발작    139  0.011118
            비출혈,타박상    138  0.011038
               압궤손상    138  0.011038
      흉통,호흡곤란,가슴불편감    138  0.011038
         전신쇠약,가슴불편감    138  0.011038
              흉통,오심    136  0.010878
        오심/구토,고열,기타    135  0.010798
           의식장애,찰과상    135  0.010798
          기타통증,정신장애    134  0.010718
         두통,흉통,호흡곤란    134  0.010718
              실신,구토    134  0.010718
         호흡곤란,오심/구토    133  0.010638
       흉통,심계항진,호흡곤란    133  0.010638
         두통,고열,어지러움    133  0.010638
            요통,호흡곤란    131  0.010479
       복통,기타통증,전신쇠약    131  0.010479
         기타통증,골절,탈구    131  0.010479
         요통,찰과상,타박상    130  0.010399
            정신장애,열상    129  0.010319
               사지마비    128  0.010239
           전신쇠약,타박상    128  0.010239
           고열,기타,오심    128  0.010239
         기타통증,고열,기침    127  0.010159
         두통,기타통증,실신    126  0.010079
        기타통증,비출혈,열상    126  0.010079
       흉통,호흡곤란,전신쇠약    126  0.010079
        기타통증,골절,타박상    126  0.010079
              요통,염좌    124  0.009919
              염좌,기타    122  0.009759
           의식장애,편마비    122  0.009759
          열상,기타,타박상    122  0.009759
           흉통,오심/구토    121  0.009679
         의식장애,기타,마비    121  0.009679
         흉통,요통,기타통증    120  0.009599
        기타통증,비출혈,기타    120  0.009599
         기타이물질,전신쇠약    120  0.009599
            호흡곤란,객혈    120  0.009599
              실신,고열    120  0.009599
         기타,설사,어지러움    119  0.009519
       요통,기타통증,전신쇠약    118  0.009439
         요통,기타통증,골절    118  0.009439
         기타통증,탈구,기타    117  0.009359
         흉통,기타,어지러움    117  0.009359
       두통,기타통증,전신쇠약    116  0.009279
          심계항진,전신쇠약    116  0.009279
         흉통,호흡곤란,고열    116  0.009279
              흉통,구토    116  0.009279
         기타통증,실신,열상    115  0.009199
         기타통증,실신,기타    115  0.009199
     그 밖의출혈,찰과상,타박상    115  0.009199
         기타통증,오심,구토    114  0.009119
        고열,경련/발작,구토    114  0.009119
        두통,기타통증,비출혈    113  0.009039
      그 밖의출혈,열상,타박상    113  0.009039
         실신,기타,전신쇠약    113  0.009039
      의식장애,심정지,호흡정지    113  0.009039
     의식장애,그 밖의출혈,열상    112  0.008959
         그 밖의출혈,타박상    112  0.008959
       두통,호흡곤란,어지러움    112  0.008959
            호흡곤란,오심    111  0.008879
    기타통증,실신,그밖의통증기타    111  0.008879
         전신쇠약,설사,오심    110  0.008799
      기타,어지러움,가슴불편감    110  0.008799
         흉통,복통,호흡곤란    109  0.008719
        오심/구토,고열,설사    108  0.008639
           오심/구토,경련    106  0.008479
             실신,타박상    106  0.008479
       심계항진,기타,어지러움    105  0.008399
           두통,실신,기타    105  0.008399
           두통,기타,마비    105  0.008399
         고열,어지러움,구토    105  0.008399
           전신쇠약,편마비    104  0.008319
           정신장애,찰과상    104  0.008319
       심계항진,호흡곤란,기타    104  0.008319
       복통,호흡곤란,전신쇠약    103  0.008239
           경련/발작,오심    103  0.008239
    기타통증,오심/구토,전신쇠약    102  0.008159
        오심/구토,기타,설사    102  0.008159
        두통,오심/구토,고열    100  0.007999
         복통,배뇨장애,변비    100  0.007999
           어지러움,편마비     99  0.007919
            저체온증,기타     99  0.007919
         두통,어지러움,마비     99  0.007919
      어지러움,가슴불편감,오심     99  0.007919
   기타통증,비출혈,그밖의통증기타     99  0.007919
    전신쇠약,어지러움,가슴불편감     98  0.007839
         두통,호흡곤란,고열     98  0.007839
         복통,기타통증,설사     97  0.007759
           열상,경련/발작     97  0.007759
         기타,전신쇠약,마비     97  0.007759
              흉통,고열     96  0.007679
          실신,열상,찰과상     96  0.007679
       복통,기타통증,배뇨장애     95  0.007599
         비출혈,열상,찰과상     95  0.007599
       복통,그 밖의출혈,기타     95  0.007599
       기타통증,배뇨장애,기타     95  0.007599
          의식장애,저체온증     94  0.007519
       복통,기타통증,호흡곤란     94  0.007519
       그 밖의출혈,골절,열상     94  0.007519
         흉통,어지러움,오심     94  0.007519
       찰과상,타박상,어지러움     93  0.007439
     심계항진,호흡곤란,어지러움     93  0.007439
         복통,기타통증,오심     93  0.007439
         의식장애,기타,구토     93  0.007439
         복통,배뇨장애,기타     92  0.007359
        두통,타박상,어지러움     92  0.007359
              요통,골절     91  0.007279
            의식장애,토혈     90  0.007199
              흉통,실신     90  0.007199
       실신,그 밖의출혈,열상     90  0.007199
            기타통증,마비     90  0.007199
    호흡곤란,전신쇠약,가슴불편감     90  0.007199
           두통,기타,구토     90  0.007199
          기타출혈,어지러움     89  0.007119
         두통,기타통증,오심     89  0.007119
  기타통증,배뇨장애,그밖의통증기타     89  0.007119
         요통,기타통증,염좌     88  0.007039
              기타,화상     88  0.007039
           고열,설사,오심     88  0.007039
       호흡곤란,전신쇠약,기침     87  0.006959
        흉통,기타통증,찰과상     86  0.006879
           요통,고열,기타     86  0.006879
             두통,비출혈     85  0.006799
        심정지,호흡정지,열상     85  0.006799
         복통,호흡곤란,고열     85  0.006799
         두통,열상,어지러움     85  0.006799
           의식장애,타박상     85  0.006799
       전신쇠약,어지러움,혈변     85  0.006799
            경련,전신쇠약     84  0.006719
            실신,호흡곤란     84  0.006719
            기침,어지러움     84  0.006719
          두통,기타,타박상     84  0.006719
       두통,기타통증,호흡곤란     84  0.006719
              객혈,기침     84  0.006719
           두통,복통,구토     84  0.006719
           두통,고열,오심     84  0.006719
         흉통,복통,기타통증     83  0.006639
     그 밖의출혈,기타,전신쇠약     83  0.006639
           두통,열상,기타     83  0.006639
    기타통증,그밖의통증기타,구토     82  0.006559
             두통,편마비     81  0.006479
              기타,변비     81  0.006479
         실신,어지러움,구토     81  0.006479
              기타,혈변     81  0.006479
            기타통증,설사     80  0.006399
           두통,기타,기침     80  0.006399
         기타통증,가슴불편감     80  0.006399
           두통,복통,요통     79  0.006319
         비출혈,그 밖의출혈     79  0.006319
              염좌,열상     79  0.006319
           기타,설사,구토     79  0.006319
         요통,기타,전신쇠약     78  0.006239
         두통,실신,전신쇠약     78  0.006239
           두통,요통,기타     78  0.006239
          두통,열상,타박상     78  0.006239
         기타통증,기타,구토     78  0.006239
      어지러움,경련/발작,오심     78  0.006239
           두통,가슴불편감     78  0.006239
         토혈,어지러움,혈변     78  0.006239
           복통,토혈,혈변     78  0.006239
     복통,기타통증,그 밖의출혈     77  0.006159
        찰과상,기타,전신쇠약     77  0.006159
         실신,열상,어지러움     77  0.006159
       요통,기타통증,어지러움     76  0.006079
            전신쇠약,변비     76  0.006079
         기타,기침,어지러움     76  0.006079
          그 밖의출혈,골절     75  0.005999
         요통,고열,전신쇠약     75  0.005999
        심정지,호흡정지,토혈     75  0.005999
         흉통,기타,전신쇠약     75  0.005999
         실신,찰과상,타박상     75  0.005999
     기타통증,호흡곤란,전신쇠약     75  0.005999
          저체온증,전신쇠약     74  0.005919
    기타통증,그 밖의출혈,타박상     74  0.005919
      심정지,호흡정지,호흡곤란     74  0.005919
          찰과상,경련/발작     74  0.005919
           복통,설사,혈변     74  0.005919
              탈구,염좌     73  0.005839
     기타통증,실신,그 밖의출혈     72  0.005759
      비출혈,그 밖의출혈,열상     72  0.005759
      두통,어지러움,경련/발작     72  0.005759
           고열,기침,구토     72  0.005759
              고열,열상     71  0.005679
      기타통증,심정지,호흡정지     71  0.005679
       기타통증,비출혈,타박상     71  0.005679
   기타통증,의식장애,그 밖의출혈     71  0.005679
              두통,기침     71  0.005679
      기타통증,찰과상,어지러움     70  0.005599
       정신장애,기타,전신쇠약     70  0.005599
        고열,기타,경련/발작     70  0.005599
           두통,실신,열상     69  0.005519
        비출혈,찰과상,타박상     69  0.005519
        기타통증,실신,찰과상     69  0.005519
           복통,요통,기타     69  0.005519
          의식장애,정신장애     69  0.005519
           실신,오심,구토     69  0.005519
         호흡곤란,경련/발작     69  0.005519
         복통,고열,어지러움     69  0.005519
       기타통증,열상,경추통증     69  0.005519
     그 밖의출혈,열상,어지러움     68  0.005439
