연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201806,2,부산,19.76551724137931,19.9,15.5,23.6,2.0162333804237504,81.03571428571429,82.0,59.0,98.0,10.87805178246595,2.743333333333333,2.7,0.0,11.1,1.9887066206428
201806,3,부산,19.674074074074074,20.0,15.2,23.4,2.0997422172536755,81.71428571428571,83.0,56.0,98.0,11.417521112736706,2.7800000000000002,2.6500000000000004,0.0,10.1,1.7910505489699382
201806,4,부산,19.555555555555557,19.8,15.1,23.1,2.092538637329774,82.37037037037037,84.0,62.0,98.0,11.415738623457019,2.703333333333333,2.7,0.6,7.9,1.463459136319891
201806,5,부산,19.48888888888889,19.8,15.3,22.8,2.163034430774958,82.5925925925926,86.0,62.0,98.0,11.52008032577251,2.7333333333333334,2.3,0.6,7.9,1.736888484962521
201806,6,부산,19.532142857142855,19.6,15.5,23.2,2.1326480794279776,82.85185185185185,85.0,61.0,98.0,11.134505286594818,2.56,2.1500000000000004,0.8,9.7,1.6990057944736892
201806,7,부산,19.978571428571428,19.75,15.7,23.0,2.042031875337451,79.62068965517241,81.0,55.0,98.0,12.266137455565126,2.4233333333333333,2.1500000000000004,0.4,8.6,1.4778090337489092
201806,8,부산,21.163333333333334,21.299999999999997,15.6,24.7,2.2528883121731615,75.0,73.5,49.0,98.0,13.650817835800423,2.6766666666666667,2.3499999999999996,0.0,11.7,2.0770807321373166
201806,9,부산,22.236666666666668,22.299999999999997,15.9,27.2,2.6952683102741033,71.73333333333333,69.0,45.0,100.0,16.391615462524264,2.82,2.55,0.9,8.5,1.4499464912838014
201806,10,부산,22.82,22.65,16.0,28.2,2.8716689848624077,70.6,67.0,41.0,99.0,16.835102900047044,3.0766666666666667,3.25,0.4,5.0,1.0759705589272233
201806,11,부산,23.053571428571427,22.9,16.6,29.7,2.8532609210511897,70.34482758620689,67.0,39.0,99.0,17.36637938676125,3.4366666666666665,3.5,0.1,8.3,1.5979476779948696
201806,12,부산,23.641379310344828,23.4,16.9,30.6,2.899940546358458,69.10344827586206,66.0,35.0,98.0,17.998700007790656,3.7,3.65,1.4,7.6,1.4718039599592483
201806,13,부산,23.373076923076926,23.4,17.7,29.9,2.470393926855826,70.34615384615384,65.0,37.0,98.0,16.649185704273485,3.9633333333333334,3.8,0.0,8.6,1.763906974897473
201806,14,부산,23.685714285714287,23.9,18.7,28.8,2.3396286957255485,68.88888888888889,66.0,44.0,98.0,16.359737945365314,3.8266666666666667,3.45,0.9,9.6,1.7354187278347382
201806,15,부산,23.707142857142856,24.3,19.0,27.8,2.2262622006950106,69.0,66.0,39.0,98.0,15.455003812912596,3.7766666666666664,3.6500000000000004,0.2,9.5,1.698413729160919
201806,16,부산,23.50689655172414,23.6,19.2,28.8,2.354316860954234,68.21428571428571,67.0,41.0,98.0,16.37829897299098,3.6633333333333336,3.55,0.3,7.6,1.7558735586661667
201806,17,부산,23.175,23.25,19.3,28.7,2.3362878120515758,70.0,66.5,43.0,98.0,14.819906532418804,3.6966666666666668,3.2,1.2,11.0,2.0506489020649608
201806,18,부산,22.433333333333334,22.7,18.9,27.1,2.207406550266834,72.65517241379311,75.0,44.0,98.0,14.528975635086116,3.643333333333333,3.1500000000000004,1.2,11.2,2.0380320686004127
201806,19,부산,21.543333333333333,21.799999999999997,17.8,25.7,2.119154570094882,75.7,77.0,39.0,98.0,13.911419273636193,3.3366666666666664,2.8499999999999996,0.7,7.9,1.7808334610771313
201806,20,부산,21.110344827586207,20.9,17.4,24.9,2.0151825205506837,77.06666666666666,78.5,40.0,98.0,14.755322437340535,3.14,2.8499999999999996,0.6,10.6,1.980699980762635
201806,21,부산,20.7448275862069,20.7,17.0,23.3,1.943227471225668,78.26666666666667,77.5,47.0,98.0,12.746692155988558,3.19,2.95,0.0,10.9,1.9928060272061014
201806,22,부산,20.42,20.6,16.8,23.3,1.9534937755300086,78.93333333333334,77.0,48.0,98.0,12.042835424328908,2.9466666666666668,2.5,0.0,10.2,1.8395526692618793
201806,23,부산,20.206666666666667,20.6,16.5,23.6,1.8980813058660493,80.93333333333334,81.5,48.0,98.0,11.858165623485911,2.77,2.7,0.0,11.4,2.0663394253340024
201807,0,부산,25.183870967741935,26.6,18.6,28.8,3.2253265234384716,81.64516129032258,82.0,58.0,98.0,10.559508786229198,2.629032258064516,2.5,1.1,5.1,1.173653426523945
201807,1,부산,24.932258064516127,26.3,18.4,28.6,3.158521499771078,83.7741935483871,84.0,65.0,98.0,9.830936467496727,2.6258064516129034,2.8,0.8,5.1,1.1328335393856368
201807,2,부산,24.799999999999997,25.8,18.0,28.8,3.118760437524287,84.16129032258064,84.0,66.0,98.0,9.363392455705888,2.4709677419354836,2.3,0.2,4.5,1.066518806956257
201807,3,부산,24.664516129032258,26.0,17.9,29.0,3.0783706065706022,84.96774193548387,85.0,69.0,98.0,8.404299974686541,2.5548387096774197,2.2,0.8,5.3,1.2363491172743022
201807,4,부산,24.509677419354837,25.3,18.0,29.0,2.981761765434399,86.3225806451613,87.0,68.0,98.0,8.047306368279163,2.4129032258064513,2.4,0.6,4.6,1.19937259584164
201807,5,부산,24.429032258064513,25.2,17.8,28.7,2.9311196436841995,86.61290322580645,87.0,69.0,98.0,7.813140296341963,2.635483870967742,2.6,0.2,5.0,1.2632097706759486
201807,6,부산,24.4,25.1,17.8,27.8,2.843589281172651,86.74193548387096,88.0,70.0,98.0,7.71996434333511,2.364516129032258,2.0,0.6,4.2,1.0290929297514952
201807,7,부산,25.177419354838708,26.1,18.3,28.6,3.080011869827708,84.29032258064517,84.0,69.0,98.0,8.013295403628048,2.2838709677419353,2.1,0.7,5.1,1.2428721506235862
201807,8,부산,26.561290322580643,28.1,18.9,30.4,3.7032127870589022,77.80645161290323,75.0,64.0,98.0,10.50847072552649,2.4064516129032256,2.3,0.7,4.9,1.1715902252553916
201807,9,부산,27.493548387096773,29.3,19.4,31.7,3.9366597925882107,74.74193548387096,73.0,60.0,98.0,11.744410704488295,2.770967741935484,2.5,0.6,5.2,1.1705251096230547
201807,10,부산,28.31935483870968,29.8,19.4,33.2,4.165446703123103,72.64516129032258,70.0,54.0,97.0,12.44601244601867,3.164516129032258,3.0,1.1,5.7,1.036516083521066
