지표,소방서,기온구간,연령대,건수,관측N,시간당평균건수,구성비
출동수,수성소방서,15 ~ 20,60대,3154,366,8.617486338797814,13.204387507326468
출동수,수성소방서,15 ~ 20,70대,3158,366,8.628415300546449,13.221133718496189
출동수,수성소방서,15 ~ 20,80세 이상,3645,366,9.959016393442623,15.259984928409947
출동수,수성소방서,15 ~ 20,9세 이하,1514,366,4.136612021857924,6.338440927740099
출동수,수성소방서,15 ~ 20,미상,3702,366,10.114754098360656,15.498618437578498
출동수,수성소방서,20 ~ 25,10대,1361,463,2.939524838012959,4.310372129849564
출동수,수성소방서,20 ~ 25,20대,2034,463,4.393088552915767,6.441805225653206
출동수,수성소방서,20 ~ 25,30대,1972,463,4.259179265658747,6.245447347585115
출동수,수성소방서,20 ~ 25,40대,2600,463,5.615550755939525,8.234362628661916
출동수,수성소방서,20 ~ 25,50대,3826,463,8.263498920086393,12.117181314330958
출동수,수성소방서,20 ~ 25,60대,4117,463,8.892008639308855,13.038796516231196
출동수,수성소방서,20 ~ 25,70대,4078,463,8.807775377969762,12.915281076801266
출동수,수성소방서,20 ~ 25,80세 이상,4752,463,10.263498920086393,15.049881235154395
출동수,수성소방서,20 ~ 25,9세 이하,1696,463,3.6630669546436283,5.371338083927157
출동수,수성소방서,20 ~ 25,미상,5139,463,11.099352051835853,16.275534441805224
출동수,수성소방서,25 ~ 30,10대,1423,400,3.5575,4.54400306552561
출동수,수성소방서,25 ~ 30,20대,1758,400,4.395,5.613743773151105
출동수,수성소방서,25 ~ 30,30대,1749,400,4.3725,5.585004470558181
출동수,수성소방서,25 ~ 30,40대,2476,400,6.19,7.906501468897688
출동수,수성소방서,25 ~ 30,50대,3684,400,9.21,11.763954528036786
출동수,수성소방서,25 ~ 30,60대,4049,400,10.1225,12.929492910972026
출동수,수성소방서,25 ~ 30,70대,4234,400,10.585,13.520245242048793
출동수,수성소방서,25 ~ 30,80세 이상,4963,400,12.4075,15.848128752075615
출동수,수성소방서,25 ~ 30,9세 이하,1706,400,4.265,5.447694469280879
출동수,수성소방서,25 ~ 30,미상,5274,400,13.185,16.841231319453314
출동수,수성소방서,30 ~ 35,10대,295,81,3.6419753086419755,4.437424789410349
출동수,수성소방서,30 ~ 35,20대,359,81,4.432098765432099,5.400120336943441
출동수,수성소방서,30 ~ 35,30대,343,81,4.234567901234568,5.159446450060169
출동수,수성소방서,30 ~ 35,40대,479,81,5.91358024691358,7.205174488567991
출동수,수성소방서,30 ~ 35,50대,692,81,8.54320987654321,10.409145607701564
출동수,수성소방서,30 ~ 35,60대,854,81,10.54320987654321,12.845968712394706
출동수,수성소방서,30 ~ 35,70대,963,81,11.88888888888889,14.485559566787003
출동수,수성소방서,30 ~ 35,80세 이상,1113,81,13.74074074074074,16.74187725631769
출동수,수성소방서,30 ~ 35,9세 이하,250,81,3.0864197530864197,3.7605294825511435
출동수,수성소방서,30 ~ 35,미상,1300,81,16.049382716049383,19.554753309265944
출동수,원주소방서,-10 ~ -5,10대,74,56,1.3214285714285714,2.1650087770626096
출동수,원주소방서,-10 ~ -5,20대,207,56,3.6964285714285716,6.0561732007021645
출동수,원주소방서,-10 ~ -5,30대,213,56,3.8035714285714284,6.231714452896431
출동수,원주소방서,-10 ~ -5,40대,234,56,4.178571428571429,6.84610883557636
출동수,원주소방서,-10 ~ -5,50대,353,56,6.303571428571429,10.327677004095962
출동수,원주소방서,-10 ~ -5,60대,452,56,8.071428571428571,13.224107665301347
출동수,원주소방서,-10 ~ -5,70대,436,56,7.785714285714286,12.755997659449973
출동수,원주소방서,-10 ~ -5,80세 이상,567,56,10.125,16.588648332358105
출동수,원주소방서,-10 ~ -5,9세 이하,407,56,7.267857142857143,11.907548273844354
출동수,원주소방서,-10 ~ -5,미상,475,56,8.482142857142858,13.897015798712697
출동수,원주소방서,-5 ~ 0,10대,603,316,1.9082278481012658,2.9430426082288057
출동수,원주소방서,-5 ~ 0,20대,1206,316,3.8164556962025316,5.886085216457611
출동수,원주소방서,-5 ~ 0,30대,1185,316,3.75,5.7835911952755135
출동수,원주소방서,-5 ~ 0,40대,1580,316,5.0,7.711454927034018
출동수,원주소방서,-5 ~ 0,50대,2246,316,7.1075949367088604,10.961979598809117
출동수,원주소방서,-5 ~ 0,60대,2251,316,7.1234177215189876,10.986382937185807
출동수,원주소방서,-5 ~ 0,70대,2164,316,6.848101265822785,10.561764849431404
출동수,원주소방서,-5 ~ 0,80세 이상,3152,316,9.974683544303797,15.383864512665332
출동수,원주소방서,-5 ~ 0,9세 이하,1560,316,4.936708860759493,7.613841573527258
출동수,원주소방서,-5 ~ 0,미상,4542,316,14.373417721518987,22.167992581385136
출동수,원주소방서,0 ~ 5,10대,794,369,2.151761517615176,3.055609005195305
출동수,원주소방서,0 ~ 5,20대,1366,369,3.7018970189701896,5.2568789686357515
출동수,원주소방서,0 ~ 5,30대,1343,369,3.6395663956639566,5.168366365210699
출동수,원주소방서,0 ~ 5,40대,1878,369,5.0894308943089435,7.227246488358668
출동수,원주소방서,0 ~ 5,50대,2749,369,7.4498644986449865,10.579180296324802
출동수,원주소방서,0 ~ 5,60대,3140,369,8.509485094850948,12.083894554550701
출동수,원주소방서,0 ~ 5,70대,2925,369,7.926829268292683,11.256494131229555
출동수,원주소방서,0 ~ 5,80세 이상,4154,369,11.257452574525745,15.986145853376948
출동수,원주소방서,0 ~ 5,9세 이하,1265,369,3.4281842818428183,4.86819318837791
출동수,원주소방서,0 ~ 5,미상,6371,369,17.26558265582656,24.517991148739657
출동수,원주소방서,5 ~ 10,10대,591,305,1.937704918032787,2.8254529808289908
출동수,원주소방서,5 ~ 10,20대,1280,305,4.19672131147541,6.119424391643161
출동수,원주소방서,5 ~ 10,30대,1112,305,3.6459016393442623,5.316249940239996
출동수,원주소방서,5 ~ 10,40대,1535,305,5.032786885245901,7.338528469665823
출동수,원주소방서,5 ~ 10,50대,2380,305,7.80327868852459,11.378304728211502
출동수,원주소방서,5 ~ 10,60대,2522,305,8.268852459016394,12.057178371659417
출동수,원주소방서,5 ~ 10,70대,2188,305,7.173770491803278,10.460391069465029
출동수,원주소방서,5 ~ 10,80세 이상,3015,305,9.885245901639344,14.414112922503227
출동수,원주소방서,5 ~ 10,9세 이하,1338,305,4.386885245901639,6.396710809389491
출동수,원주소방서,5 ~ 10,미상,4956,305,16.249180327868853,23.693646316393362
출동수,원주소방서,10 ~ 15,10대,824,354,2.327683615819209,3.2669891364681627
출동수,원주소방서,10 ~ 15,20대,1379,354,3.8954802259887007,5.467449052414559
출동수,원주소방서,10 ~ 15,30대,1375,354,3.884180790960452,5.45158988184918
출동수,원주소방서,10 ~ 15,40대,1724,354,4.870056497175141,6.835302513678535
출동수,원주소방서,10 ~ 15,50대,2720,354,7.68361581920904,10.784235984458013
출동수,원주소방서,10 ~ 15,60대,3119,354,8.810734463276836,12.36618824835461
출동수,원주소방서,10 ~ 15,70대,2634,354,7.440677966101695,10.443263817302356
출동수,원주소방서,10 ~ 15,80세 이상,3775,354,10.663841807909604,14.96709222107684
출동수,원주소방서,10 ~ 15,9세 이하,1878,354,5.305084745762712,7.4458805804456425
출동수,원주소방서,10 ~ 15,미상,5794,354,16.36723163841808,22.972008563952105
출동수,원주소방서,15 ~ 20,10대,1007,367,2.7438692098092643,3.6203487326981842
출동수,원주소방서,15 ~ 20,20대,1546,367,4.212534059945504,5.558152076217868
출동수,원주소방서,15 ~ 20,30대,1484,367,4.043596730245231,5.335250763976272
출동수,원주소방서,15 ~ 20,40대,1991,367,5.425068119891008,7.158008268919648
출동수,원주소방서,15 ~ 20,50대,3026,367,8.245231607629428,10.879022110372102
출동수,원주소방서,15 ~ 20,60대,3328,367,9.068119891008175,11.964767211936007
출동수,원주소방서,15 ~ 20,70대,2942,367,8.016348773841962,10.577026784109293
출동수,원주소방서,15 ~ 20,80세 이상,3885,367,10.5858310626703,13.967283839654861
출동수,원주소방서,15 ~ 20,9세 이하,2080,367,5.667574931880109,7.477979507460003
출동수,원주소방서,15 ~ 20,미상,6526,367,17.78201634877384,23.46216070465576
출동수,원주소방서,20 ~ 25,10대,1188,456,2.6052631578947367,3.3166755074122674
출동수,원주소방서,20 ~ 25,20대,1964,456,4.307017543859649,5.48312348195092
출동수,원주소방서,20 ~ 25,30대,1926,456,4.223684210526316,5.37703453474413
출동수,원주소방서,20 ~ 25,40대,2611,456,5.725877192982456,7.289427398866523
출동수,원주소방서,20 ~ 25,50대,3995,456,8.760964912280702,11.15329852871381
출동수,원주소방서,20 ~ 25,60대,4191,456,9.19078947368421,11.700494151148831
출동수,원주소방서,20 ~ 25,70대,3628,456,7.956140350877193,10.128702643848236
출동수,원주소방서,20 ~ 25,80세 이상,4752,456,10.421052631578947,13.26670202964907
출동수,원주소방서,20 ~ 25,9세 이하,2738,456,6.004385964912281,7.643987827689215
출동수,원주소방서,20 ~ 25,미상,8826,456,19.355263157894736,24.640553895976996
출동수,원주소방서,25 ~ 30,10대,1085,331,3.2779456193353473,3.322208273370281
출동수,원주소방서,25 ~ 30,20대,1546,331,4.670694864048339,4.733764046664013
출동수,원주소방서,25 ~ 30,30대,1619,331,4.891238670694864,4.957285893628097
출동수,원주소방서,25 ~ 30,40대,2186,331,6.604229607250756,6.693407636486113
출동수,원주소방서,25 ~ 30,50대,3376,331,10.19939577039275,10.337119936311584
